날짜,온도
21. 6. 6 오후 5:30,21.1
21. 6. 6 오후 5:45,21.1
21. 6. 6 오후 6:00,20.7
21. 6. 6 오후 6:15,20.5
21. 6. 6 오후 6:30,20.7
21. 6. 6 오후 6:45,20.8
21. 6. 6 오후 7:00,21.2
21. 6. 6 오후 7:15,20.8
21. 6. 6 오후 7:30,20.6
21. 6. 6 오후 7:45,20.5
21. 6. 6 오후 8:00,20.4
21. 6. 6 오후 8:15,19.8
21. 6. 6 오후 8:30,19.5
21. 6. 6 오후 8:45,19.1
21. 6. 6 오후 9:00,19.0
21. 6. 6 오후 9:15,18.9
21. 6. 6 오후 9:30,18.8
21. 6. 6 오후 9:45,18.8
21. 6. 6 오후 10:00,18.8
21. 6. 6 오후 10:15,18.4
21. 6. 6 오후 10:30,18.5
21. 6. 6 오후 10:45,18.4
21. 6. 6 오후 11:00,18.4
21. 6. 6 오후 11:15,18.5
21. 6. 6 오후 11:30,18.5
21. 6. 6 오후 11:45,18.5
21. 6. 7 오전 12:00,18.5
21. 6. 7 오전 12:15,18.6
21. 6. 7 오전 12:30,18.8
21. 6. 7 오전 12:45,18.8
21. 6. 7 오전 1:00,18.7
21. 6. 7 오전 1:15,18.6
21. 6. 7 오전 1:30,18.6
21. 6. 7 오전 1:45,18.5
21. 6. 7 오전 2:00,18.4
21. 6. 7 오전 2:15,18.5
21. 6. 7 오전 2:30,18.4
21. 6. 7 오전 2:45,18.4
21. 6. 7 오전 3:00,18.4
21. 6. 7 오전 3:15,18.4
21. 6. 7 오전 3:30,18.3
21. 6. 7 오전 3:45,18.2
21. 6. 7 오전 4:00,18.3
21. 6. 7 오전 4:15,18.4
21. 6. 7 오전 4:30,18.45
21. 6. 7 오전 4:45,18.5
21. 6. 7 오전 5:00,18.6
21. 6. 7 오전 5:15,18.6
21. 6. 7 오전 5:30,18.700000000000003
21. 6. 7 오전 5:45,18.8
21. 6. 7 오전 6:00,18.8
21. 6. 7 오전 6:15,18.9
